Region,RegionID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
속초,0.8,0.8,2.5,8,17.4,25,25.5,27.7,25.8,23.7,16.2,7.2,-0.5
철원,-1.5,-1.5,-0.1,5.2,14.8,23,27.7,27.9,26.7,22.4,15.5,4.2,-2.9
동두천,-1.8,-1.8,0,6.6,16.2,24.4,29.3,28.6,27.9,23.9,16.5,5.5,-1.5
파주,-1.4,-1.4,-0.1,6,14.5,22.5,29.3,29,26.9,22.1,14.9,4.4,-2.1
대관령,-3.2,-3.2,-1.8,1.9,10.1,17.9,21.6,24.4,22.1,17,10.7,1,-4.9
춘천,-1.4,-1.4,-0.4,5.5,15.2,22.8,27,29,27.6,22.6,15.3,4.1,-2.5
북강릉,0.7,0.7,2.2,7,15.8,24.3,27.4,28.1,25.6,24.2,16,7.5,-0.1
강릉,0.8,0.8,2.7,8.2,16.8,25.3,27.3,28.5,26.1,23.5,15.9,7.7,1.6
동해,0.1,0.1,2.8,7.5,16.6,24.4,27.3,28.7,26.5,22.7,15.5,6.2,0.1
서울,-0.7,-0.7,1,8.1,16.9,25,28.6,28.3,27.7,24.2,16.8,5.4,-1.5
인천,-0.2,-0.2,0.3,6.4,13.7,21.6,26.2,27.5,26.4,22.7,16.6,6.5,-0.9
원주,-0.5,-0.5,0.2,6.2,14.9,22.2,25.9,27.8,26.6,23.9,16.6,4.8,-1.8
울릉도,1.9,1.9,2.4,6.6,15.2,23.3,25.9,28.8,27.4,23.8,16,7.9,1.2
수원,-0.4,-0.4,-0.3,5.8,15.1,23,27.4,27.7,26.9,22.1,15.8,5.8,-1.4
영월,-0.3,-0.3,0.4,6.7,14.9,23.3,26.2,26.8,25.9,22.2,15.9,5.6,-1.6
충주,0.1,0.1,1.6,6.5,14.4,22.4,27.9,27.8,27,21.4,16.2,6.4,-0.9
서산,2.7,2.7,3.7,9.4,16.9,23.5,27.2,27.5,28.1,25.9,19.5,7.4,0.8
