Region,RegionID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
속초,90,-0.9,0.6,8.5,14.9,19.1,26.9,29.4,28.6,23.2,14.1,7.8,0.8
철원,95,-3,-2.2,7.2,12.9,20,28,30.4,31.6,21.7,11.6,5,-2.8
동두천,98,-2.9,-1.6,8.3,14.5,20.8,27.3,30.7,33,22.7,13.4,6.1,-1.2
파주,99,-3.1,-1.7,7,13.1,19.5,25.4,29.3,29.5,22.1,12.3,5.3,-2.4
대관령,100,-6.2,-5.1,2.6,8.5,15,22.3,25,24.4,16.9,8.5,2.9,-3.5
춘천,101,-3.2,-1.6,7.3,14,20.2,29,31.3,30.4,21.9,11.9,5.4,-2.1
북강릉,104,-1.3,0,7.6,13.8,18.8,27.1,29.2,28.5,21.4,13.5,7.7,0.8
강릉,105,0.2,2,9.9,15.5,19.9,29.2,30.7,28.8,21.7,13.8,8.3,1.8
동해,106,-0.7,0.9,8.6,15.9,20.4,27.8,30.5,29.3,21.6,14.2,7.9,1.1
서울,108,-2.8,-1.1,8.4,14.5,21.1,27.9,31.3,31.8,23.5,14,7.1,0
인천,112,-2.5,-0.8,7.7,12.4,18.4,24.5,30,32.8,22.4,13.8,7.1,-0.4
원주,114,-2.8,-1.5,7.7,14,19.5,27.2,30.6,32,21.7,12.3,5.4,-1.7
울릉도,115,1,0.7,8,14.1,19,25.1,30.5,32.1,22.4,16,10.1,3.9
수원,119,-2.3,-1.2,8.4,13.4,18.4,25.8,29.7,32.4,22.3,12.9,5.9,-1.4
영월,121,-2.8,-1.8,7.5,14.2,20.4,29,31.9,31.1,21.5,13.1,6,-0.9
충주,127,-1.5,-0.3,8.5,14.6,20.1,27.3,31.5,32,22.2,14.2,7.5,0.4
서산,129,-0.4,0.3,8.3,13.8,19.5,26.3,31.2,33.1,22.7,13.8,7.8,1.7
울진,130,0.1,2.1,9.6,16.1,20.4,26.5,31.1,29.9,22.4,14.8,8.7,2.5
청주,131,-1.6,-0.7,8.3,14.4,20.6,27.4,30.4,32.5,22.8,14.5,8.1,0.6
대전,133,-0.7,0.9,9.4,15.1,21.4,29.1,32.1,35.1,23,14.6,8.1,1.1
추풍령,135,-1.8,0,7.8,13.5,19.7,25.7,31.5,31.8,21.6,13.1,6.8,0.1
안동,136,-3.2,-0.1,8.9,15.9,21.9,28.2,33.5,32.6,22.2,14.3,6.9,-0.3
상주,137,-0.9,1.2,9,15.5,21.7,29.1,33.2,33.3,22.9,15,8.1,1.3
포항,138,0.9,3.8,10.7,17.8,21.9,27.9,33.1,31.5,23,17.1,11,3.6
군산,140,0.1,1.2,9.3,14.5,20.3,28.1,32.5,33.9,23.8,15.8,8.9,2.6
대구,143,-0.3,1.8,10.2,17.9,22.5,27.7,33.2,32.1,23,16.3,9.1,2.1
전주,146,0.4,1.2,9.6,15,21.9,29,34,35.5,23.6,16.7,10.6,3
울산,152,0,1.7,8.6,14.6,19.5,23.7,30.1,29.5,22,15.8,9.8,3.2
창원,155,2,4.6,10.1,15.5,20,24.6,31.9,30.9,22.9,16.4,9.8,2.5
광주,156,-0.3,1.2,10.2,16.8,22.2,29.7,34.3,33.3,22.7,15.6,9.4,2.8
부산,159,2.8,5.7,11.4,18,21.2,26.3,32.9,33.2,23.6,18.3,12.3,5.4
통영,162,2.1,4.1,10.4,16.4,21.3,24.8,31.2,34,23.2,17.1,11.6,4.8
목포,165,2.4,3.2,10.7,16.4,20.7,27.5,33,34.6,24.3,17.3,11.5,5.2
여수,168,2.2,4.1,10.7,16.2,20.2,25.1,30.5,32,23.1,18,12.1,4.3
흑산도,169,3.1,3.8,9.8,15.3,20,27.1,32,33.2,24.9,18.3,12.3,5.4
완도,170,1.4,2.9,10.4,16.3,21.2,26.7,31,32.6,23.3,16.3,10,3.8
고창,172,0.8,1.5,9.2,14.3,20.4,26.7,31.5,32.1,22.8,15.2,9.3,3
순천,174,-0.4,0.7,9,14,19.3,25.2,30.6,32.1,21.9,13.8,7.9,1.8
진도(첨찰산),175,1,1.3,9.7,15.4,19,25.6,30.6,30.8,21.8,15.4,9.3,2.9
홍성,177,-0.8,0.3,9.2,15,20.5,27.1,32,32.3,22.4,13.7,7.8,1.5
제주,184,5,5.9,13.2,19,22.1,26.1,31.7,32.3,25,18.6,13,8.1
고산,185,4.8,6.3,13.1,18.5,20.4,25.2,32,31.5,24.5,18.3,13.3,7.6
성산,188,3.3,4.4,11.4,17.2,19.3,23.2,31.1,31.6,23.2,16.2,12.2,6.5
서귀포,189,5.9,7,12.8,18.3,20.9,24.8,31.3,32,26,19.8,14.1,9.4
강화,201,-1.9,-1.1,7.8,13.3,19,25.1,29.3,31.8,22.9,13.4,6,-1.2
양평,202,-3.3,-2,7,13.6,21.1,29.9,32.2,33.3,23,13.9,6.6,-1.3
이천,203,-1.1,-1,7.4,13.7,20,26.1,31.9,31.2,22.9,14.6,7.8,0.1
인제,211,-2,-1.3,6.9,12.2,18.4,26.7,24.7,26.4,19.8,12,6,-1.2
홍천,212,-3.4,-2.6,7.1,14,20.1,28.3,31.2,31.3,21.8,12.2,5.7,-1.9
태백,216,-5.4,-4.1,2.5,10.9,17.2,23.8,27.3,26.4,18,10.1,3.9,-2.6
정선군,217,-2.2,-0.8,7,13,18.7,26.7,31.1,30.5,21.1,13.1,6.4,-0.5
제천,221,-2.3,-2,6.2,13.2,19.9,28.3,31.9,30.7,20.6,13,5.8,-1
보은,226,-1.2,-0.2,8.1,13.7,20.9,27.4,30.8,32.7,22.4,13.6,7.2,0.6
천안,232,-1.5,-0.2,8.2,14.2,20.2,27.5,31.9,33.6,21.7,14,6.4,-0.1
보령,235,0.3,1.2,8.9,14.5,20.7,27.6,32.3,33.6,23.5,15.3,8.7,2
부여,236,-1.1,0,8.9,14.7,21,27.8,31.9,34.2,22.9,14.4,7.5,1.1
금산,238,-1.7,-0.7,8.9,14.9,22.2,28.1,32.4,33,22,13.7,6.9,0.3
부안,243,0.1,1.1,9.7,16,21.6,28.8,33.5,33.5,24,15.2,8.8,2.7
임실,244,-1.2,-0.4,8.2,14,20.9,28.2,31.7,32.1,22.1,13.2,7.1,0.8
정읍,245,0.1,0.8,9.8,15.8,21.5,28.4,33.7,34.9,23.6,15,7.9,1.4
남원,247,-0.7,0.9,9.9,14.9,20.4,25.9,32.6,32.5,22.9,16,8.6,1.1
장수,248,0,0.3,8.3,14,20.9,28,32.4,31.5,21,13.1,6.6,0.7
고창군,251,1,1.6,10,14.8,20,26.1,32.2,32.1,23.7,15.3,8.7,3.2
영광군,252,0.3,0.6,9.8,15.2,20.5,27.8,32.2,33.2,23.5,14.8,8.1,2.6
북창원,255,0.2,2.6,10.6,18.9,22.6,28.1,32.6,32.3,23.5,16.4,9.7,3.3
양산시,257,0.1,2.3,9.4,15.5,20.6,24.9,30.9,30.4,22.4,15.7,9,3.1
보성군,258,1,2.3,9.7,15.4,20.3,26,31.5,31.8,22.4,15.4,9.4,2.9
강진군,259,2.2,2.8,10,15.5,20.1,26.8,31.6,31.9,23.2,16.8,10.2,4.2
장흥,260,1.3,2.3,9.5,15,20.4,27.1,32.2,32.1,23.2,16.2,8.9,2.8
해남,261,1.4,2.1,9.9,15.5,20.4,26.8,31.2,31.8,22.1,15.4,9.1,3.5
고흥,262,1.3,2.7,10,15.9,19.9,25.2,30.7,30.9,22.8,16,9.3,3.2
의령군,263,0.7,3.1,11.1,17.9,22.5,27,32.8,31.7,23.4,15,8.5,2.9
함양군,264,-1.1,0.2,8.2,14.5,20.7,26.7,30.4,29.9,20.9,13.1,6.2,1
